what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"en_US",1264729234133
processors,sysinfo,,,"2",1264729234133
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1264729234133
java.runtime.version,sysinfo,,,"1.6.0_17-b04",1264729234133
java.specification.name,sysinfo,,,"Java Platform API Specification",1264729234133
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1264729234133
java.specification.version,sysinfo,,,"1.6",1264729234133
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1264729234133
java.version,sysinfo,,,"1.6.0_17",1264729234133
java.vm.info,sysinfo,,,"mixed mode, sharing",1264729234133
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1264729234133
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1264729234133
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1264729234133
java.vm.specification.version,sysinfo,,,"1.0",1264729234133
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1264729234133
java.vm.version,sysinfo,,,"14.3-b01",1264729234133
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1264729248859
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1264729248875
closed,view,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.internal.introview",1264729248906
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264729253227
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264729262010
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.perspectives.showPerspective",1264729262010
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.perspectives.showPerspective",1264729262010
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264729268484
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264729269794
